Comment,Designator,Footprint,LCSC
IRF7410,Q1,SOIC-8_3.9x4.9mm_P1.27mm,C148144
100µF,C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008
10µF,"C1,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
47µF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C16780
10k,"R1,R2,R3,R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
300R,"R4,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17617
74LVC1G125,U2,SOT-23-5_HandSoldering,C23654
Flyback diode,D1,D_SMA_Handsoldering,C2480
100nF,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
IRLML6344,Q2,SOT-23,C53550
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
ESP32-WROOM-32,U3,ESP32-WROOM-32,C82899
Reset,"SW1,SW2",SW_Push_SPST_NO_Alps_SKRK_handsolder,C843669
